file,strategy,data_type,partitions,records_tag,ratio,hot_keys,bucket_factor,job_count,stage_count,task_count,job_total_ms,job_max_ms,stage_total_ms,stage_max_ms,total_shuffle_read_bytes,total_shuffle_write_bytes,task_min_ms,task_p50_ms,task_p90_ms,task_p99_ms,task_max_ms
custom_skewed_5m_ratio0.75_hot0_b32_p64_20251204_170335.json,custom,skewed,64,5m,ratio0.75,hot0,b32,6,10,517,92522,36437,92124,27451,0,0,200,331,966,2175,27348
custom_skewed_5m_ratio0.75_hot0_b32_p64_20251204_183123.json,custom,skewed,64,5m,ratio0.75,hot0,b32,6,10,517,93065,35828,92715,27058,0,7681730,185,341,1072,2089,26962
custom_skewed_5m_ratio0.75_hot0_b4_p64_20251204_165745.json,custom,skewed,64,5m,ratio0.75,hot0,b4,6,10,517,92847,35738,92519,27372,0,0,173,348,935,1853,27277
custom_skewed_5m_ratio0.75_hot0_b4_p64_20251204_182741.json,custom,skewed,64,5m,ratio0.75,hot0,b4,6,10,517,94311,37255,93920,27920,0,7681730,207,337,985,2070,27808
custom_skewed_5m_ratio0.75_hot0_b8_p64_20251204_170005.json,custom,skewed,64,5m,ratio0.75,hot0,b8,6,10,517,94814,37688,94508,28604,0,0,195,346,1002,2003,28493
custom_skewed_5m_ratio0.75_hot0_b8_p64_20251204_182932.json,custom,skewed,64,5m,ratio0.75,hot0,b8,6,10,517,91910,35765,91642,26497,0,7681730,178,334,942,1988,26416
custom_skewed_5m_ratio0.95_hot0_b32_p64_20251204_173420.json,custom,skewed,64,5m,ratio0.95,hot0,b32,6,10,517,90750,35940,90389,27299,0,0,204,313,915,1915,27199
custom_skewed_5m_ratio0.95_hot0_b32_p64_20251204_184036.json,custom,skewed,64,5m,ratio0.95,hot0,b32,6,10,517,91822,35982,91466,27142,0,4463883,170,318,946,1851,27045
custom_skewed_5m_ratio0.95_hot0_b4_p64_20251204_170949.json,custom,skewed,64,5m,ratio0.95,hot0,b4,6,10,517,92717,36718,92343,27561,0,0,172,317,1041,2123,27467
custom_skewed_5m_ratio0.95_hot0_b4_p64_20251204_183656.json,custom,skewed,64,5m,ratio0.95,hot0,b4,6,10,517,93642,37448,93295,28118,0,4463883,173,317,975,2058,28035
custom_skewed_5m_ratio0.95_hot0_b8_p64_20251204_172823.json,custom,skewed,64,5m,ratio0.95,hot0,b8,6,10,517,91868,36519,91499,27537,0,0,193,320,972,1927,27449
custom_skewed_5m_ratio0.95_hot0_b8_p64_20251204_183846.json,custom,skewed,64,5m,ratio0.95,hot0,b8,6,10,517,91894,36308,91465,27133,0,4463883,178,317,972,2021,27025
custom_uniform_2m_ratio0.0_hot0_b1_p16_20251204_154217.json,custom,uniform,16,2m,ratio0.0,hot0,b1,6,10,133,39610,16712,39327,14002,0,0,266,497,1523,13817,13911
custom_uniform_2m_ratio0.0_hot0_b1_p16_20251204_164910.json,custom,uniform,16,2m,ratio0.0,hot0,b1,6,10,133,39468,16853,39199,14149,0,0,220,488,1467,13984,14054
custom_uniform_2m_ratio0.0_hot0_b1_p16_20251204_182159.json,custom,uniform,16,2m,ratio0.0,hot0,b1,6,10,133,39291,16667,38921,13983,0,2851793,198,477,1451,13655,13888
hash_skewed_5m_ratio0.75_p64_20251204_165323.json,hash,skewed,64,5m,ratio0.75,,,6,8,389,82153,35609,81799,26512,0,0,187,366,969,5977,26412
hash_skewed_5m_ratio0.75_p64_20251204_182343.json,hash,skewed,64,5m,ratio0.75,,,6,8,389,85979,36399,85665,26995,0,7417962,222,404,1028,6147,26894
hash_skewed_5m_ratio0.95_p64_20251204_170530.json,hash,skewed,64,5m,ratio0.95,,,6,8,389,86324,37212,86009,28291,0,0,206,382,1076,7973,28202
hash_skewed_5m_ratio0.95_p64_20251204_183304.json,hash,skewed,64,5m,ratio0.95,,,6,8,389,81754,35392,81400,26300,0,4285181,225,334,978,7324,26213
hash_uniform_2m_ratio0.0_p16_20251204_153819.json,hash,uniform,16,2m,ratio0.0,,,6,8,101,37885,16608,37568,14086,0,0,382,679,1540,13889,14003
hash_uniform_2m_ratio0.0_p16_20251204_164446.json,hash,uniform,16,2m,ratio0.0,,,6,8,101,38356,17693,38072,15080,0,0,276,609,1650,14689,14948
hash_uniform_2m_ratio0.0_p16_20251204_181958.json,hash,uniform,16,2m,ratio0.0,,,6,8,101,37701,16421,37411,13990,0,2775486,320,670,1565,13813,13904
range_skewed_5m_ratio0.75_p64_20251204_165533.json,range,skewed,64,5m,ratio0.75,,,9,12,645,101431,37068,101088,28066,0,0,198,348,651,2037,27976
range_skewed_5m_ratio0.75_p64_20251204_182548.json,range,skewed,64,5m,ratio0.75,,,9,12,645,105548,36437,105229,27388,0,6645525,200,382,689,1954,27295
range_skewed_5m_ratio0.95_p64_20251204_170749.json,range,skewed,64,5m,ratio0.95,,,9,12,645,98969,36451,98580,27313,0,0,169,335,614,2197,27214
range_skewed_5m_ratio0.95_p64_20251204_183504.json,range,skewed,64,5m,ratio0.95,,,9,12,645,102007,37595,101663,28331,0,3834278,168,339,622,1998,28243
range_uniform_2m_ratio0.0_p16_20251204_154056.json,range,uniform,16,2m,ratio0.0,,,9,12,165,44152,16844,43828,14303,0,0,176,573,1020,14179,14213
range_uniform_2m_ratio0.0_p16_20251204_164700.json,range,uniform,16,2m,ratio0.0,,,9,12,165,44625,17887,44316,15128,0,0,242,595,990,14764,15025
range_uniform_2m_ratio0.0_p16_20251204_182101.json,range,uniform,16,2m,ratio0.0,,,9,12,165,44567,16733,44251,14099,0,2775534,281,605,946,13885,14002
